Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Alpine Aster,alpine-aster,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,OREALP-1G,BDMJGQH5NZ,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/4112949/medium.jpg,1,Alpine Aster,,FALSE,,,,,,,,,,,,,,,,
Beaked Hazel,beaked-hazel,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,CORCOR-1G,BD9JG9DGYW,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/141313270/medium.jpeg,1,Beaked Hazel,,FALSE,,,,,,,,,,,,,,,,
Big-leaf Sedge,big-leaf-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CARAMP-1G,BDL7BNDRUW,,,,,,,,,,,,,TRUE,,,,,,shopify,56,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/340522305/medium.jpg,1,Big-leaf Sedge,,FALSE,,,,,,,,,,,,,,,,
Bitter Cherry,bitter-cherry,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,PRUEMA-1g,BDQ4SJUBFW,,,,,,,,,,19.50,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/67338881/medium.jpg,1,Bitter Cherry,,FALSE,,,,,,,,,,,,,,,,
Bitter Root,bitter-root,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,LEWRED-4,BD7XDM2UU2,,,,,,,,,,,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/8036215/medium.jpg,1,Bitter Root,,FALSE,,,,,,,,,,,,,,,,
Black Hawthorne,black-hawthorne,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,CRADOU-1G,BDUC6Z63BH,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,10,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/66932638/medium.jpg,1,Black Hawthorne,,FALSE,,,,,,,,,,,,,,,,
,black-hawthorne,,,,,,,,CRADOU-3G,BDRDQHR5CD,,3 Gal,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,black-hawthorne,,,,,,,,CRADOU-2G,BDYSZJ84NA,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,28,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Blue Bells,blue-bells,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pink and blue, pollinator, bird-friendly",TRUE,active,MERPLA-1G,BD6UK9D6BT,,,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/128851385/medium.jpeg,1,Blue Bells,,FALSE,,,,,,,,,,,,,,,,
Blue Wildrye,blue-wildrye,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,ELYGLA-4,BD5MBD8NKR,,,,,,,,,,,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/75985465/medium.jpg,1,Blue Wildrye,,FALSE,,,,,,,,,,,,,,,,
